"gamma","sigma","scenario","p","ratio","Bias","MSE","Var","Coverage"
0.5,0.5,5,0.5,60,-0.0103845530427118,0.00448653276979132,0.00442292305847922,93
0.5,0.5,1,0.5,70,0.0692559347037041,0.418846749970708,0.418232692403055,91
0.5,0.5,2,0.5,70,0.13536933575013,1.80346220216015,1.81138936487958,92.7536231884058
0.5,0.5,3,0.5,70,0.0240844100021334,0.0279927990343799,0.0276896365951809,96
0.5,0.5,4,0.5,70,0.0020110077238577,0.00115298254601837,0.00116054383227571,95
0.5,0.5,5,0.5,70,-0.00300600346464241,0.00409322116809751,0.00412543950633138,97
0.5,0.5,1,0.5,80,-0.0874106271960209,0.39641471320617,0.392701106524614,96
0.5,0.5,2,0.5,80,-0.00288545001948159,1.81279551547693,1.8310981713688,NA
0.5,0.5,3,0.5,80,0.0317465922475627,0.0352048237562263,0.0345424016534276,98
0.5,0.5,4,0.5,80,-0.00503027929427345,0.00131826053335865,0.0013060169935154,96
0.5,0.5,5,0.5,80,-0.00355578071873093,0.00408372538304918,0.00411220384497928,95
0.5,0.5,1,0.5,90,0.0554561784976853,0.394575522256811,0.39545468133661,94
0.5,0.5,2,0.5,90,-0.42210721996126,2.18588348805983,2.02798887163273,NA
0.5,0.5,3,0.5,90,-0.0215836526068644,0.0472472278992765,0.0472539129691139,93
0.5,0.5,4,0.5,90,-0.00150971489438135,0.00166902725646443,0.00168358385596173,93
0.5,0.5,5,0.5,90,0.00507342511231611,0.00435589587999086,0.00437389518951574,95
0.5,0.5,1,0.5,100,-0.0597863152434354,0.41005210258866,0.410583534442699,95
0.5,0.5,2,0.5,100,0.11350301859081,1.63989924441259,1.64345081735694,NA
0.5,0.5,3,0.5,100,0.0253358498703173,0.0546418695694976,0.0545454184655014,99
0.5,0.5,4,0.5,100,0.00160070479174964,0.00142718251055345,0.00143901035830618,96
0.5,0.5,5,0.5,100,0.00182974259578161,0.00463370808106684,0.00467713143747476,95
0.5,0.5,1,0.7,1,0.00657302991847194,0.0051454741147299,0.00515380746709169,93
0.5,0.5,2,0.7,1,-0.0613939739929951,0.0967723225348508,0.0939820825184319,95.8333333333333
0.5,0.5,3,0.7,1,0.00745052546708215,0.00658469264978728,0.00659513365661783,91
0.5,0.5,4,0.7,1,-0.000946616068311793,0.000343702989349392,0.000346269603402632,94
0.5,0.5,5,0.7,1,-0.0096158570215377,0.0042194518795337,0.00416867391239904,95
0.5,0.5,1,0.7,2,0.0112782784013912,0.00910241115323967,0.00906587029246503,95
0.5,0.5,2,0.7,2,0.0258505875558594,0.126958930239479,0.127606205251689,90.7216494845361
0.5,0.5,3,0.7,2,0.00932517305339511,0.00607847537082229,0.00605203688721871,95
0.5,0.5,4,0.7,2,6.97301406151121e-05,0.000288532109919635,0.000291441664269823,98
0.5,0.5,5,0.7,2,-0.00200010713264141,0.00465817202773172,0.00470118343352492,94
0.5,0.5,1,0.7,5,-0.00686987357041995,0.0211109534543996,0.021276523526794,95
0.5,0.5,2,0.7,5,-0.0469364603506215,0.0863333214336888,0.0849976127020355,96.9387755102041
0.5,0.5,3,0.7,5,0.00630392581660495,0.0071136895620614,0.007145404122586,92
0.5,0.5,4,0.7,5,0.0013116409961154,0.000348222247185954,0.000350001863720468,95
0.5,0.5,5,0.7,5,0.00755769614737206,0.00318748544095826,0.0031619865352548,97
0.5,0.5,1,0.7,10,0.00555677842905145,0.0502905419417952,0.0507673375305915,93
0.5,0.5,2,0.7,10,-0.0775120915085492,0.20197321445367,0.198027880545994,92.7083333333333
0.5,0.5,3,0.7,10,-0.00448672149169102,0.00732208907581842,0.00737571556169133,95
0.5,0.5,4,0.7,10,0.00168239315964882,0.000466440506778166,0.000468292989933872,92
0.5,0.5,5,0.7,10,0.00232207221829886,0.00405425134516681,0.00408975689472709,95
0.5,0.5,1,0.7,20,-0.00762217156319577,0.094041821652633,0.0949330547002972,97
