"gamma","sigma","p","ratio","B","G","alpha","beta","Bias_n","Var_n","Bias_p","Var_p"
1,5,0.5,5,1000,184,1,1,-0.205237502821035,0.1926795221669,0.0272710449460539,0.0990856611175099
1,5,0.5,5,1000,186,1,1,0.0440088604874702,0.252467643656858,0.0363039354189804,0.00675015293886605
1,5,0.5,5,1000,188,1,1,-0.109089550088895,0.33105901483251,-0.0122532108263812,0.0606940535128014
1,5,0.5,5,1000,190,1,1,-0.062973864555664,0.189967303786324,-0.143900952388456,0.0288773022541831
1,5,0.5,5,1000,192,1,1,-0.298369921822418,0.573508202316738,-0.0402345676015742,0.00718726702168866
1,5,0.5,5,1000,194,1,1,0.283830014460508,0.400971937028808,-0.0389282300594974,0.033663574108026
1,5,0.5,5,1000,196,1,1,0.0430486143380564,0.359977606628633,0.0039534304353654,0.0116312030145367
1,5,0.5,5,1000,198,1,1,0.0915358015766473,0.488836130064726,0.113521350184153,0.06251504430253
1,5,0.5,5,1000,200,1,1,0.0778542998436173,0.300358753387705,-0.0176657368397073,0.0575852958711552
1,1,0.5,5,1000,2,2,1,0.00894986600259875,0.0294756352649756,0.00707747401851317,0.00133592763025046
1,1,0.5,5,1000,4,2,1,0.00525341566385613,0.0568493350691267,0.0100136515071944,0.00188568906509373
1,1,0.5,5,1000,6,2,1,-0.0368454556239391,0.0427558363772622,-0.0174358995870826,0.000920325396167314
1,1,0.5,5,1000,8,2,1,-0.0392505231558991,0.0434206999767654,-0.0198735519900794,0.000501773756806928
1,1,0.5,5,1000,10,2,1,-0.0182280893009187,0.0648799036896148,0.00987131431203809,0.00266961918603268
1,1,0.5,5,1000,12,2,1,-0.0269696582659918,0.0221269165024088,-0.00216720386854181,0.00137765341721973
1,1,0.5,5,1000,14,2,1,-0.0176140218723205,0.0658791270623233,0.00307228639306772,0.00244006723918693
1,1,0.5,5,1000,16,2,1,-0.00763192937333484,0.0441955162862962,0.0120365583122072,0.000225629706695964
1,1,0.5,5,1000,18,2,1,-0.0227809842214482,0.0345584351124724,0.00749159915918947,0.00132730918033354
1,1,0.5,5,1000,20,2,1,-0.0078373431824656,0.0199262592087731,-0.00392275315476971,0.000261721769305789
1,1,0.5,5,1000,22,2,1,0.00654600459855739,0.0451895791799816,-0.0169154486210996,0.00166312632278457
1,1,0.5,5,1000,24,2,1,0.00872954120380789,0.0242979221704383,0.0374330092869773,0.00259717725571869
1,1,0.5,5,1000,26,2,1,0.0207311316737872,0.0186845506078242,0.00173349314518749,7.85260885485094e-05
1,1,0.5,5,1000,28,2,1,0.00810866491929552,0.0539864269050831,-0.02166692514459,0.00205613491674786
1,1,0.5,5,1000,30,2,1,0.0185931041332771,0.0253008781185943,-0.0014061883352551,0.00139271599116592
1,1,0.5,5,1000,32,2,1,-0.0076839258759563,0.0729415326614184,-0.0062468250932127,0.000879498496293073
1,1,0.5,5,1000,34,2,1,0.0273528116684537,0.0673359217108889,0.0240157046643358,0.00221072591137646
1,1,0.5,5,1000,36,2,1,0.0369311837442902,0.0597768326880302,0.047347550314998,0.00715785170687555
1,1,0.5,5,1000,38,2,1,-0.00168609834748576,0.0240410451194324,0.00356605242728447,0.00128295168786013
1,1,0.5,5,1000,40,2,1,-0.0281101827142485,0.0333978947459365,-0.0190531017156935,0.00374626986526109
1,1,0.5,5,1000,42,2,1,-0.0538169088823135,0.0587484745207658,-0.0237975400032076,0.0022206107500737
1,1,0.5,5,1000,44,2,1,-0.0194492931165235,0.0409159559424864,0.000986053432100985,0.00145179492129095
1,1,0.5,5,1000,46,2,1,-0.00137722754297538,0.0590196521405624,0.0180078535881324,0.00276650268396042
1,1,0.5,5,1000,48,2,1,0.00662176244644541,0.0680299408682499,0.0119790706757295,0.00155254686672167
1,1,0.5,5,1000,50,2,1,-0.035218073365272,0.0626556186822385,-0.0457960765415798,0.00299365691046505
1,1,0.5,5,1000,52,2,1,-0.0287283206451941,0.0592968022642635,-0.00855059595349053,0.000913570912417184
1,1,0.5,5,1000,54,2,1,-0.00805189845088811,0.0397756397223273,0.00365029170180398,0.00462669224054376
1,1,0.5,5,1000,56,2,1,-0.0197424646533313,0.0210666961118531,0.00545451857761103,0.0034382280460233
1,1,0.5,5,1000,58,2,1,0.0150406561109854,0.0409330924088957,0.019293367695936,0.00062007165375942
1,1,0.5,5,1000,60,2,1,0.00864520614451962,0.0876630572969922,-0.0176196378059297,0.00249121775342519
1,1,0.5,5,1000,62,2,1,0.0299056072489569,0.0493673214434856,0.00696433373807461,0.00444173527144346
1,1,0.5,5,1000,64,2,1,0.0230346462617336,0.0711792715623871,0.0383275301767983,0.00969975569857138
1,1,0.5,5,1000,66,2,1,-0.00757402679593438,0.0339310512748018,0.0169778251174341,0.0019598691397777
1,1,0.5,5,1000,68,2,1,-0.0375696328592526,0.0335244831607339,-0.00520834293393384,0.00454813048791828
1,1,0.5,5,1000,70,2,1,-0.0282100950621513,0.0676996105758626,0.00762116494172811,0.00101238667576244
1,1,0.5,5,1000,72,2,1,0.0111256451293626,0.0244729936611589,0.00946131600669942,0.0012060676553233
1,1,0.5,5,1000,74,2,1,-0.0169688970980051,0.0601484490459621,-0.00447180671962703,0.0116530231097212
1,1,0.5,5,1000,76,2,1,-0.017831209796015,0.0819387618256466,0.0264473653329577,0.00238867102889845
1,1,0.5,5,1000,78,2,1,0.0334728090075345,0.0672277252200916,0.00455937159955031,0.00756963805971302
1,1,0.5,5,1000,80,2,1,0.00601851356046685,0.0358641511034205,-0.0048917219035787,0.00218347565376578
1,1,0.5,5,1000,82,2,1,-0.0293019495481551,0.0434650339568358,-0.0434456211423884,0.00298845191969221
1,1,0.5,5,1000,84,2,1,-0.0157306412207839,0.0892758497953539,0.00495141740273029,0.00313523585197718
1,1,0.5,5,1000,86,2,1,-0.0140487073178707,0.042730055737014,-0.0182302621458059,0.00339826017568622
1,1,0.5,5,1000,88,2,1,0.00849365578682675,0.0506987756744893,0.0287454728742239,0.00213591126281646
1,1,0.5,5,1000,90,2,1,-0.00700733361636705,0.0837072084415833,-0.0317471683284575,0.00113978813607814
1,1,0.5,5,1000,92,2,1,0.0130167392547608,0.0572957889640719,0.0159823620092661,0.0018836288953252
1,1,0.5,5,1000,94,2,1,0.0276416256296344,0.0749190247335921,0.00587655357579085,0.00271193349507805
1,1,0.5,5,1000,96,2,1,0.0101382837038862,0.0422228772993159,0.00603349087683478,0.00241360724177574
1,1,0.5,5,1000,98,2,1,0.0212676988810561,0.0646015280394419,-0.0097641931120382,0.00184066736050018
1,1,0.5,5,1000,100,2,1,0.00627005608410238,0.0938100933617783,0.0232748426246685,0.00333850416637822
1,1,0.5,5,1000,102,2,1,0.0364591869556427,0.0366270543565554,-0.0062318467235099,0.00291497262819618
1,1,0.5,5,1000,104,2,1,-0.0136746201882871,0.0607221898129517,-0.0244489591586939,0.00253684401538712
1,1,0.5,5,1000,106,2,1,0.0250694890164663,0.0318227474617634,0.0122130253693049,0.00125891845583956
1,1,0.5,5,1000,108,2,1,-0.0176631901569663,0.0756403859292271,-0.0155339044532158,0.00270292988673085
1,1,0.5,5,1000,110,2,1,0.0348829903714573,0.0617014273711339,-0.0107771087474928,0.00059255088760359
1,1,0.5,5,1000,112,2,1,-0.00919337226414192,0.0760698137191097,0.0104301797200403,0.00389714969118195
1,1,0.5,5,1000,114,2,1,-0.0428906711167774,0.050121798559183,-0.0124190555391475,0.00308844285478857
1,1,0.5,5,1000,116,2,1,-0.0149609722316141,0.054505710750022,0.0154484995403379,0.00181197548072712
1,1,0.5,5,1000,118,2,1,0.00242561329196882,0.0655123817301847,-0.0303799954039645,0.000598810245595887
1,1,0.5,5,1000,120,2,1,-0.0278002965567357,0.0605902520293609,-0.0082614464969643,0.00238642070733173
1,1,0.5,5,1000,122,2,1,-0.00759498053593009,0.0675074710791359,-0.0258437844966851,0.00193981141985471
1,1,0.5,5,1000,124,2,1,-0.00113718454089204,0.0811996782756963,-0.00302201562328373,0.00610294041828946
1,1,0.5,5,1000,126,2,1,-0.0480902454419533,0.0830604350914891,-0.0248317376755728,0.00247406416354482
1,1,0.5,5,1000,128,2,1,-0.027924596939634,0.04589288538324,-0.0346365221099024,0.00313905991145014
1,1,0.5,5,1000,130,2,1,0.00141291516923454,0.0427231726016075,-0.0272983136542804,0.00270361693249884
1,1,0.5,5,1000,132,2,1,0.0497933637815717,0.0764349556086588,0.0256478277879143,0.00284321648184008
1,1,0.5,5,1000,134,2,1,0.0587549530565849,0.0452808534437871,0.0247735728044672,0.00307420909447037
1,1,0.5,5,1000,136,2,1,0.0608225217953922,0.0438707190966104,0.0212459748993387,0.00135577665830067
1,1,0.5,5,1000,138,2,1,-0.00272885704979453,0.100525320221848,0.0162713400642711,0.00529228231574113
1,1,0.5,5,1000,140,2,1,-0.00378776095926397,0.062406343695792,0.0188998761061248,0.00310437436722076
1,1,0.5,5,1000,142,2,1,0.0255422798475521,0.0738965757373334,0.0195865896407145,0.00301153988884061
1,1,0.5,5,1000,144,2,1,0.00805738851496385,0.0632237577047872,-0.00859663718373241,0.00196778755722322
1,1,0.5,5,1000,146,2,1,0.0251903446829631,0.17405063267255,-0.00606358089078143,0.00642720338033865
1,1,0.5,5,1000,148,2,1,-0.0758158563331928,0.0609456801775185,-0.0213630305169074,0.00367730368442595
1,1,0.5,5,1000,150,2,1,-0.00700413123143151,0.108672638891985,0.0309038033789982,0.00435655223881225
1,1,0.5,5,1000,152,2,1,-0.0254985716355344,0.0756379291433432,-0.00760182463412567,0.00694509838205737
1,1,0.5,5,1000,154,2,1,-0.0177244122215783,0.108048081420813,0.00308618562076714,0.00420933080986337
1,1,0.5,5,1000,156,2,1,-0.00201791156316513,0.0539982583293235,0.00904766015175558,0.00534145301717315
1,1,0.5,5,1000,158,2,1,0.000923468796247654,0.0758825604521916,-0.0201800825644996,0.00269257900191956
1,1,0.5,5,1000,160,2,1,-0.0101422876326275,0.0340459628780366,-0.0112826739559061,0.00311358737289771
1,1,0.5,5,1000,162,2,1,0.012336233490668,0.0532932100022048,0.014788914093736,0.00325675306038966
1,1,0.5,5,1000,164,2,1,0.0231234417813635,0.105935744868237,-0.0337860887109358,0.0027347388876062
1,1,0.5,5,1000,166,2,1,0.0166256952996168,0.0466840101788845,0.01483539066341,0.000825691579892971
1,1,0.5,5,1000,168,2,1,-0.0143778270461782,0.124073334381187,0.00664394718136317,0.00871586320843201
1,1,0.5,5,1000,170,2,1,0.0342795910327423,0.112546763228314,-0.018699230280438,0.00577210411007519
1,1,0.5,5,1000,172,2,1,-0.0203480800623122,0.145304254850529,-0.0583123783661479,0.0208018154338825
1,1,0.5,5,1000,174,2,1,0.0265809251454423,0.0690743863746002,0.025998894056451,0.00614762588945
1,1,0.5,5,1000,176,2,1,0.024065509330997,0.136231372361919,-0.0167101357441361,0.00393652339591887
1,1,0.5,5,1000,178,2,1,-0.0190123653482276,0.0738327621542469,-0.00743275413681812,0.00766405035694582
1,1,0.5,5,1000,180,2,1,0.0863655038461858,0.0791668078216764,0.0712872672850096,0.00301695227789098
1,1,0.5,5,1000,182,2,1,0.000262966386498364,0.0575858878042657,-0.00228228681816522,0.00855718909361189
1,1,0.5,5,1000,184,2,1,-0.0297794225998432,0.0603518621765569,0.00982114027559784,0.00444759151276677
1,1,0.5,5,1000,186,2,1,-0.027023638038664,0.0761859156941192,-0.0669821816112342,0.00668788402944626
1,1,0.5,5,1000,188,2,1,0.0225850731021009,0.129566909032809,0.0204344233999446,0.0168253806452027
1,1,0.5,5,1000,190,2,1,-0.023578518724389,0.0970061492016759,0.0230977102722905,0.000569170650368454
1,1,0.5,5,1000,192,2,1,-0.0176861254553293,0.147947785099024,0.00481478611694018,0.0151376515003283
1,1,0.5,5,1000,194,2,1,-0.0759692650654316,0.0711355522338731,-0.0336222541970138,0.0199051086338683
1,1,0.5,5,1000,196,2,1,-0.0464331965143381,0.142924195092201,-0.0353202837564973,0.0106335397623067
1,1,0.5,5,1000,198,2,1,-0.0284898969722888,0.111681680580169,-0.0144367070230368,0.00614222373001593
1,1,0.5,5,1000,200,2,1,0.0376553950607572,0.0984217549425318,0.0897688416767509,0.0139156847126735
1,1,0.5,5,1000,2,5,1,0.000599456587335909,0.0580983772082855,-0.00421553220887543,0.00123488795576433
1,1,0.5,5,1000,4,5,1,0.00296988180450954,0.0614668394232848,0.0155071100165585,0.00256008872327911
1,1,0.5,5,1000,6,5,1,0.000162483546989646,0.0729245929548854,0.00758638992699605,0.00340584092050481
1,1,0.5,5,1000,8,5,1,-0.0125908740597631,0.0524599401790507,0.0294748451196119,0.00279124566216942
1,1,0.5,5,1000,10,5,1,0.0237099204662696,0.0369083719898062,0.0304813280987403,0.00214002657566256
1,1,0.5,5,1000,12,5,1,0.0072208059946588,0.042239281461483,-0.00218817162467058,0.00196330642615769
1,1,0.5,5,1000,14,5,1,-0.0183360220167433,0.0534416948131756,-0.00717900561745406,0.00111234579079541
1,1,0.5,5,1000,16,5,1,-0.0111668362283476,0.024762144831423,-0.0105719577524942,0.000689389222886012
1,1,0.5,5,1000,18,5,1,-0.00683629144543476,0.0312267855019688,0.00196814315393499,0.000500984046093752
1,1,0.5,5,1000,20,5,1,0.0167008384233798,0.0596038987584399,0.0358955816216511,0.00116684467287014
1,1,0.5,5,1000,22,5,1,-0.0230288873197441,0.025798871559388,-0.000845403375443254,0.000102646806312019
1,1,0.5,5,1000,24,5,1,0.0422878976631846,0.0322042282172133,0.0282602254681257,0.00187154125448187
1,1,0.5,5,1000,26,5,1,-0.068602734378316,0.0498999624292829,-0.0460154695276837,0.00144872086045535
1,1,0.5,5,1000,28,5,1,0.0242830980545559,0.0480972873731821,-0.0168455733067578,0.00145465119597222
1,1,0.5,5,1000,30,5,1,-0.00801719720015448,0.049011467277027,-0.000396303299333536,0.00368946592418884
1,1,0.5,5,1000,32,5,1,0.00698101078828455,0.0284250189634473,0.00142011010024439,0.00076478939085674
1,1,0.5,5,1000,34,5,1,-0.0296183279244055,0.0591336562357726,-0.0126603970248838,0.001385161439023
1,1,0.5,5,1000,36,5,1,0.00745810295851414,0.0796478225035009,-0.0234146096184529,0.00298142453279428
1,1,0.5,5,1000,38,5,1,-0.009731680783631,0.0291642650553923,-0.00314099165075619,0.00149728885831578
1,1,0.5,5,1000,40,5,1,0.017031438452677,0.0558608288569799,0.00503588280910412,0.000216060183276907
1,1,0.5,5,1000,42,5,1,-0.000948073138415518,0.0355771282816817,0.00684656899337926,0.00398838766363945
1,1,0.5,5,1000,44,5,1,0.0130403172613393,0.0594746721073388,-0.026040405776597,0.000409575740568678
1,1,0.5,5,1000,46,5,1,-0.0150692934680384,0.0344379618178243,-0.0250587907139682,0.00225704914762807
1,1,0.5,5,1000,48,5,1,0.0108964149559778,0.037825394648445,0.0180350077597801,0.00134615017845731
1,1,0.5,5,1000,50,5,1,-0.019469414139923,0.0277056771116468,0.000107634701023596,0.00175891167707351
1,1,0.5,5,1000,52,5,1,0.00945645554887369,0.0287155514457557,-0.0019017323604261,0.000473306067488377
1,1,0.5,5,1000,54,5,1,0.0456990209374402,0.0492238263715127,0.00761770477493169,0.00245004384346411
1,1,0.5,5,1000,56,5,1,0.0164532845604209,0.0726838621684685,0.0260063581237051,0.00295526108055249
1,1,0.5,5,1000,58,5,1,0.0088845469125231,0.0442283694016542,0.0120916670093791,0.00182793272760105
1,1,0.5,5,1000,60,5,1,-0.0295494945144451,0.0435194294787862,-0.0170406895046485,0.0027883801842784
1,1,0.5,5,1000,62,5,1,-0.0103978478870092,0.041095413118683,-0.0324286481582995,0.00642935781591382
1,1,0.5,5,1000,64,5,1,0.0227834283575322,0.0506194498209922,0.0131876655412896,0.00154513884943832
1,1,0.5,5,1000,66,5,1,-0.0156457811013719,0.0501583203658708,-0.00543479615066151,0.000946475423260257
1,1,0.5,5,1000,68,5,1,0.072551481523624,0.0456132537757957,0.0567644801099734,0.000454395917210907
1,1,0.5,5,1000,70,5,1,-0.018232191200185,0.0462949128114544,-0.00894567393432983,0.0033899315812528
1,1,0.5,5,1000,72,5,1,0.0132951900200955,0.0598309919117801,1.86309159608961e-07,0.00114731090137713
1,1,0.5,5,1000,74,5,1,-0.0381698182030944,0.0378429571153725,0.00694129094111628,0.00199905200112453
1,1,0.5,5,1000,76,5,1,-0.00180776921678429,0.0631209485244078,-0.0245192186768196,0.00188611046737982
1,1,0.5,5,1000,78,5,1,0.00695122451949532,0.0376564024987684,0.00884159021208899,0.00225429764211588
1,1,0.5,5,1000,80,5,1,-0.0117701770162535,0.0455712813419488,-0.0224654261591091,0.00300653361002934
1,1,0.5,5,1000,82,5,1,-0.0120866235441634,0.0551300667786026,-0.0204964704971827,0.00424145205115318
1,1,0.5,5,1000,84,5,1,0.00204071156949565,0.0506483968962174,0.0101555249509958,0.00329282145195952
1,1,0.5,5,1000,86,5,1,0.0330825601711381,0.0328987675243356,0.0128192382349656,0.000259041529344934
1,1,0.5,5,1000,88,5,1,0.0527782034693971,0.0140836077442686,0.0346239038092714,0.00021300091549633
1,1,0.5,5,1000,90,5,1,-0.0244520756192079,0.0408728645913383,-0.0039101917315415,0.00213092526202317
1,1,0.5,5,1000,92,5,1,0.0219359160748408,0.0284594194791781,0.00405935835140971,0.000799180633983526
1,1,0.5,5,1000,94,5,1,-0.0750797043033121,0.0261801216778802,-0.0342848170207643,0.000428664464659578
1,1,0.5,5,1000,96,5,1,-0.0203404162044811,0.0744328940460437,-0.0593836426130278,0.00492021112607439
1,1,0.5,5,1000,98,5,1,0.0350118987842174,0.103272580095551,0.0345230160686338,0.00251215902264879
1,1,0.5,5,1000,100,5,1,0.00965415083862653,0.0791784701808289,-0.00321724012477958,0.00228947523507763
1,1,0.5,5,1000,102,5,1,-0.0216904734128033,0.0663534799514924,-0.000703197443073433,0.00158637319862852
1,1,0.5,5,1000,104,5,1,-0.0122847464362522,0.08858615292237,0.00938934286870086,0.00888248657292457
1,1,0.5,5,1000,106,5,1,0.0211552428025715,0.0519977945686978,0.00352934341241684,0.00454976593067515
1,1,0.5,5,1000,108,5,1,-0.030918450207857,0.0436407675685552,-0.00655249206706818,0.00181963796358804
1,1,0.5,5,1000,110,5,1,0.0212673576962529,0.0847851327786354,0.0237253614199807,0.00149007937857411
1,1,0.5,5,1000,112,5,1,0.0418189042601913,0.0670623319282385,-0.0029398246468829,0.00769145104767157
1,1,0.5,5,1000,114,5,1,-0.0206205157487707,0.0544476815427778,0.0331182307767945,0.00196227424154182
1,1,0.5,5,1000,116,5,1,-0.0434183334917366,0.0638940240200467,0.025443807842063,0.00208960360719714
1,1,0.5,5,1000,118,5,1,0.0163509617474991,0.0304545612627548,0.0264098925000494,0.00109606319198172
1,1,0.5,5,1000,120,5,1,0.0399742543592133,0.0694756476191671,0.0296051982210892,0.00327985018542076
1,1,0.5,5,1000,122,5,1,0.0331998174105808,0.0471466778179671,0.0250197269119746,0.00908944112995512
1,1,0.5,5,1000,124,5,1,0.0216195158908812,0.0554247529917208,-0.00547701135481224,0.00228219106406463
1,1,0.5,5,1000,126,5,1,0.0387260729250871,0.100785309993723,0.0292475466135347,0.00584527554202786
1,1,0.5,5,1000,128,5,1,0.00121682319691857,0.0733203146432843,0.0234351544354546,0.00221004896772993
1,1,0.5,5,1000,130,5,1,-0.0308738930496991,0.0873044611929213,0.00991818443060437,0.00397027682392895
1,1,0.5,5,1000,132,5,1,-0.033809627407098,0.0404022534376556,0.00578019759615023,0.00148784928469486
1,1,0.5,5,1000,134,5,1,2.88420209546725e-05,0.0951294797914523,0.00258107948166004,0.0101062997253189
1,1,0.5,5,1000,136,5,1,0.00333466846114638,0.0449926146653872,-0.00253947598739552,0.00171198796722715
1,1,0.5,5,1000,138,5,1,0.014977846343103,0.0536117974403704,0.0188971320287563,0.003652753386216
1,1,0.5,5,1000,140,5,1,-0.0144064355236465,0.0403868381724486,-0.0363275233364917,0.000369711184594454
1,1,0.5,5,1000,142,5,1,-0.00714583205171499,0.0336608033001578,0.0468450244263003,0.00176433681991696
1,1,0.5,5,1000,144,5,1,-0.0256247888916131,0.0622939780924999,-0.00874263108315871,0.00311663016897806
1,1,0.5,5,1000,146,5,1,0.00792268729941432,0.0606895590818016,-0.0121655471599062,0.00116018906553364
1,1,0.5,5,1000,148,5,1,0.0487284745457163,0.0849079140468361,0.0382462079045191,0.00139595837746535
1,1,0.5,5,1000,150,5,1,-0.00870555938381501,0.0409543638149256,-0.0303956430437157,0.000878754258006809
1,1,0.5,5,1000,152,5,1,-0.0891073735569874,0.0764792406402069,-0.0411079818232808,0.00366052029669386
1,1,0.5,5,1000,154,5,1,0.0228562488571192,0.0387418334396522,0.0381084696355656,0.00167316525467174
1,1,0.5,5,1000,156,5,1,0.0464851915085676,0.022230910211307,0.0412604829520462,0.0062032583677161
1,1,0.5,5,1000,158,5,1,-0.0348857230844696,0.0955976156311801,-0.0491046648498374,0.00574254987288825
1,1,0.5,5,1000,160,5,1,-0.0220973682730143,0.0695272177180999,-0.023061353364373,0.00486820582140405
1,1,0.5,5,1000,162,5,1,-0.056199918984011,0.0787220817227857,-0.0207669168658612,0.0021386468459989
1,1,0.5,5,1000,164,5,1,-0.0181273198956474,0.0759471324571624,-0.0194798930174449,0.00526418830594115
1,1,0.5,5,1000,166,5,1,-0.0194990714026131,0.0832622642577292,-0.00490474289356906,0.00232565393770345
1,1,0.5,5,1000,168,5,1,0.0359908590523307,0.156118059644866,0.0147133098427107,0.0226080216150875
1,1,0.5,5,1000,170,5,1,-0.0366634408819144,0.198104285321208,-0.011177729976695,0.0113015974504401
1,1,0.5,5,1000,172,5,1,-0.0471334659034745,0.120615638057643,-0.0200222180648394,0.00930602769012162
1,1,0.5,5,1000,174,5,1,0.0183615974422064,0.0678390224585316,0.00252666077575441,0.0121581456230102
1,1,0.5,5,1000,176,5,1,0.0156850340617481,0.137140406932762,0.038300666018239,0.00723812598921899
1,1,0.5,5,1000,178,5,1,0.0892000678221029,0.112934732825108,0.00386405775609555,0.0216976959550496
1,1,0.5,5,1000,180,5,1,0.039748618849062,0.0433651451079427,0.103204403724347,0.00201263553058698
1,1,0.5,5,1000,182,5,1,-0.0521186979852694,0.128384844600387,0.0128997176104046,0.00907761235691664
1,1,0.5,5,1000,184,5,1,-0.051318836929102,0.174379730156178,-0.0304079642436506,0.0042753982518994
1,1,0.5,5,1000,186,5,1,-0.0757686804394519,0.077574507594792,-0.0205337495852975,0.00355803030488657
1,1,0.5,5,1000,188,5,1,-0.0073932373031341,0.0659623476478691,-0.105965095063352,0.00276301431967379
1,1,0.5,5,1000,190,5,1,-0.0593933077087337,0.1488062612271,0.0297487676063556,0.0090437296573683
1,1,0.5,5,1000,192,5,1,-0.0391977433529708,0.0939561166701356,0.000781369717786595,0.0182299730187033
1,1,0.5,5,1000,194,5,1,0.0434139635504499,0.172788223147794,0.0273011730530186,0.0148429341585957
1,1,0.5,5,1000,196,5,1,-0.0233722569271192,0.121577618217932,-0.0362229617277141,0.00056177318311106
1,1,0.5,5,1000,198,5,1,-0.0299754748649403,0.112007220584982,0.028612205571012,0.0105345820801448
1,1,0.5,5,1000,200,5,1,-0.00152750129060377,0.0908658943792992,0.0556107620975582,0.00691575630815235
0.25,1,0.5,10,1000,2,1,1,0.0361474230108682,0.0959513424200664,0.0420588546483453,0.000943377836771236
0.25,1,0.5,10,1000,4,1,1,-0.0292582740679728,0.105574226475283,0.0125623271826049,0.00209024743798669
0.25,1,0.5,10,1000,6,1,1,0.033567378696795,0.0303016769022475,0.0127903016055324,0.00105359991298744
0.25,1,0.5,10,1000,8,1,1,0.019862068699763,0.0351543294585657,-0.0035049515161155,0.00346043963623081
0.25,1,0.5,10,1000,10,1,1,-0.0014325750245995,0.0299212909775584,0.0111864494202862,0.00211692950354954
0.25,1,0.5,10,1000,12,1,1,0.010751802680989,0.0761396022287207,-0.0364660194944212,0.00164509614769449
0.25,1,0.5,10,1000,14,1,1,0.0111393890730416,0.0860869156972612,0.00402613387265529,0.00362239869875208
0.25,1,0.5,10,1000,16,1,1,-0.0119082189713002,0.0691052664593145,-0.01035070189707,2.09180092369827e-05
0.25,1,0.5,10,1000,18,1,1,0.030619423179267,0.0800642314107109,0.0301488043829009,0.00263031337371966
0.25,1,0.5,10,1000,20,1,1,-0.0142831705142018,0.0882248261213342,0.0111007731885711,0.00218276498878281
0.25,1,0.5,10,1000,22,1,1,0.00985225337932216,0.0689777627785092,-0.0161569075849877,0.00247839558497762
0.25,1,0.5,10,1000,24,1,1,0.0159235021762739,0.065372669618407,-0.0152462286432773,0.00162243627198827
0.25,1,0.5,10,1000,26,1,1,-0.0179143975606052,0.0353930627313482,0.0270509999054559,0.00450060674018967
0.25,1,0.5,10,1000,28,1,1,0.0556268803927116,0.0719197180326385,0.0185910629484993,0.00239189441119846
0.25,1,0.5,10,1000,30,1,1,0.0374908650367714,0.0968668299182964,0.0186967590145622,0.000794706437957038
0.25,1,0.5,10,1000,32,1,1,-0.0168932126910017,0.136173209061037,0.00912359410407084,0.0008549601741136
0.25,1,0.5,10,1000,34,1,1,-0.0297022048604311,0.0592519442519421,0.00480995679037901,0.00327223426154661
0.25,1,0.5,10,1000,36,1,1,0.0991958858619405,0.0788927921123861,0.0692913085523373,0.00243801402393442
0.25,1,0.5,10,1000,38,1,1,-0.010486247923478,0.0971849121231595,0.0205096045372148,0.00214892106582038
0.25,1,0.5,10,1000,40,1,1,-0.00418526092729683,0.105139627189495,-0.0115756258644137,0.000989042019037937
0.25,1,0.5,10,1000,42,1,1,-0.0234932721932168,0.0718827013515324,-0.0371736455706951,0.000339196516542091
0.25,1,0.5,10,1000,44,1,1,0.00432648106919296,0.111226858845248,-0.0107431745220836,0.00465869866628136
0.25,1,0.5,10,1000,46,1,1,0.0225383500292172,0.109838489977637,-0.0087635740331843,0.00633399049236974
0.25,1,0.5,10,1000,48,1,1,-0.0262712655392641,0.100956491940001,-0.0461017756623538,0.00115456601107461
0.25,1,0.5,10,1000,50,1,1,-0.0256389717489374,0.0554766528453095,0.00530481287275926,0.00015024254931327
0.25,1,0.5,10,1000,52,1,1,0.00335210570900203,0.103039708176054,0.0109054849023732,0.0022504685647282
0.25,1,0.5,10,1000,54,1,1,0.0970745497931235,0.128031135292561,0.00459245165785625,0.00737618640395888
0.25,1,0.5,10,1000,56,1,1,0.0453972878526153,0.115377439598857,0.0410813640025329,0.00626091113777954
0.25,1,0.5,10,1000,58,1,1,0.0271034790130724,0.0799040451119296,0.0374614904904794,0.00543893040899038
0.25,1,0.5,10,1000,60,1,1,-0.025499785420793,0.0901942409160878,-0.0312606453337686,0.00372128093500698
0.25,1,0.5,10,1000,62,1,1,0.0472238074091502,0.0788611471829808,0.00973528264563899,0.00753584087863877
0.25,1,0.5,10,1000,64,1,1,-0.0398320632939112,0.118545474600085,0.0450617430972472,0.00121650926878587
0.25,1,0.5,10,1000,66,1,1,-0.0254788675753698,0.139953350053064,-0.0450162333087045,0.00781162077827191
0.25,1,0.5,10,1000,68,1,1,-0.0783577918184559,0.0800449977141576,-0.0984452094300194,0.00876447506450039
0.25,1,0.5,10,1000,70,1,1,0.0286539706923784,0.0533835519369488,-0.0241847557966025,0.00459635253351488
0.25,1,0.5,10,1000,72,1,1,0.0191396438236113,0.16963074853555,-0.0196139687554869,0.0102590035048058
0.25,1,0.5,10,1000,74,1,1,-0.103327762476717,0.0656430721397609,-0.0320091167828962,0.00179993637685776
0.25,1,0.5,10,1000,76,1,1,-0.0270821834036955,0.178165694470026,-0.0175331788951874,0.0107640800845433
0.25,1,0.5,10,1000,78,1,1,-0.0024351580124504,0.0796874392721265,0.0441441659502214,0.00472225494147608
0.25,1,0.5,10,1000,80,1,1,-0.0603154526548557,0.145999044902049,0.00467515414139346,0.00277928448442626
