"gamma","sigma","p","ratio","B","G","alpha","beta","Bias_n","Var_n","Bias_p","Var_p"
0.25,1,0.5,5,1000,42,1,1,-0.0123423865222382,0.099147617994588,0.0372419689525269,0.0041869641659364
0.25,1,0.5,5,1000,44,1,1,0.0175266918914242,0.115517452909015,0.00469941128991822,0.00232561096953858
0.25,1,0.5,5,1000,46,1,1,0.0275328466892503,0.138527042677359,-0.0143818698746882,0.000863485496915833
0.25,1,0.5,5,1000,48,1,1,-0.00110870390388682,0.0791555824611948,-0.028496789668995,0.00149159437638917
0.25,1,0.5,5,1000,50,1,1,0.0287180807485173,0.0526332584618799,0.00359485933069019,0.00109303834928115
0.25,1,0.5,5,1000,52,1,1,-0.0296454153592659,0.0741359928796627,-5.68454154108208e-05,0.0024760745216832
0.25,1,0.5,5,1000,54,1,1,-0.0233507419376297,0.0749029832615737,-0.00516513256206184,0.00506341788458258
0.25,1,0.5,5,1000,56,1,1,0.00817713131081705,0.0561756604399479,0.00907282579129762,0.00240466261793737
0.25,1,0.5,5,1000,58,1,1,-0.020226283085332,0.0445126963403122,-0.000358619421313899,0.00261310108408769
0.25,1,0.5,5,1000,60,1,1,0.00972157008615682,0.111072709455198,0.026902403915825,0.00853726729204241
0.25,1,0.5,5,1000,62,1,1,-0.0400971290462818,0.0531361551738976,0.00212182046092659,0.00215428172860509
0.25,1,0.5,5,1000,64,1,1,0.00287561606337166,0.0332764806990639,-0.000181639058877425,0.000751087675929627
0.25,1,0.5,5,1000,66,1,1,-0.0282726611851077,0.111968243056394,-0.0144455458830889,0.00243226923283718
0.25,1,0.5,5,1000,68,1,1,0.00943518530833336,0.0616783101728858,-0.0285509752171992,0.00555448869298449
0.25,1,0.5,5,1000,70,1,1,-0.0436528324095003,0.11942688953724,0.0201466043526642,0.0029740788869829
0.25,1,0.5,5,1000,72,1,1,0.0441409837965591,0.101729476792832,0.0171498872401712,0.0022593773146447
0.25,1,0.5,5,1000,74,1,1,-0.0355988585809557,0.0810848911558195,-0.024228814968854,0.00546645742356204
0.25,1,0.5,5,1000,76,1,1,-0.0128557608456608,0.0940091787831709,0.00259096056261203,0.000582961915571845
0.25,1,0.5,5,1000,78,1,1,-0.0396699691716903,0.160026075223161,0.015084535257378,0.00391791483658447
0.25,1,0.5,5,1000,80,1,1,-0.0111973601884715,0.0736632365981158,0.0181351443197932,0.00214205060605281
0.25,1,0.5,5,1000,82,1,1,0.00928306048012189,0.0762610737206551,-0.019390035714747,0.00130435283004256
0.25,1,0.5,5,1000,84,1,1,0.0837036679018893,0.127681077595836,0.0403964530500228,0.00205317725584053
0.25,1,0.5,5,1000,86,1,1,0.0376025709469238,0.0790199446218581,0.00244067784691318,0.00044226994030405
0.25,1,0.5,5,1000,88,1,1,0.0366887175621575,0.0754265164250123,-0.0110855440679203,0.000132215119922078
0.25,1,0.5,5,1000,90,1,1,-0.00445875350334365,0.137483515918639,-0.0121515227602521,0.00601499884046511
0.25,1,0.5,5,1000,92,1,1,-0.0291188626412112,0.0966992054773664,0.00145443774034817,0.0024927017103563
0.25,1,0.5,5,1000,94,1,1,-0.0130105206771052,0.0527899504844609,-0.00666185462655115,0.00674719861705594
0.25,1,0.5,5,1000,96,1,1,-0.0313551117331902,0.0974096032866487,-0.00797555856017496,0.00193474943837785
0.25,1,0.5,5,1000,98,1,1,0.0771057761914764,0.089579190402861,0.0162394066180145,0.00265222500613153
0.25,1,0.5,5,1000,100,1,1,0.0526724977206929,0.0752629689273174,-0.00975073872705918,0.00108777172193858
0.25,1,0.5,5,1000,102,1,1,0.0698530352821504,0.0756841545597933,-0.00819988886804968,0.00339975121218394
0.25,1,0.5,5,1000,104,1,1,0.0281143180303669,0.0762406839343254,0.0154499307932139,0.00818432335464177
0.25,1,0.5,5,1000,106,1,1,-0.0633058278399772,0.0751224087349048,-0.00457332277895948,0.00289287527459792
0.25,1,0.5,5,1000,108,1,1,-0.0263607768444715,0.167921623712882,0.0214357940161016,0.00219206253297471
0.25,1,0.5,5,1000,110,1,1,0.0497382881088571,0.0584282053066642,0.0214673207271731,0.00120356159969095
